step,motion_time_s,joint_err_norm,lower_body_err,torque_clip_ratio,left_foot_contact_z,right_foot_contact_z,left_foot_contact_norm,right_foot_contact_norm,left_foot_contact_flag,right_foot_contact_flag,left_foot_slip_xy,right_foot_slip_xy,projected_gravity_x,projected_gravity_y,projected_gravity_z,root_pos_err,root_rot_err_rad,root_lin_vel_err,root_ang_vel_err,root_roll,root_pitch,root_yaw,root_height,root_xy_drift,root_x,root_y,right_foot_pos_err,right_foot_vel_err,right_foot_pos_err_x,right_foot_pos_err_y,right_foot_pos_err_z,right_foot_vel_err_x,right_foot_vel_err_y,right_foot_vel_err_z,reset,timeout,right_hip_pitch_joint_err,right_hip_pitch_joint_torque,right_hip_pitch_joint_torque_ratio,right_hip_roll_joint_err,right_hip_roll_joint_torque,right_hip_roll_joint_torque_ratio,right_hip_yaw_joint_err,right_hip_yaw_joint_torque,right_hip_yaw_joint_torque_ratio,right_knee_joint_err,right_knee_joint_torque,right_knee_joint_torque_ratio,right_ankle_pitch_joint_err,right_ankle_pitch_joint_torque,right_ankle_pitch_joint_torque_ratio,right_ankle_roll_joint_err,right_ankle_roll_joint_torque,right_ankle_roll_joint_torque_ratio
1,0.019999999552965164,0.6930710673332214,0.02232881262898445,0.0,0.0,21.9405460357666,0.0,21.9405460357666,0,1,0.4549413323402405,0.711115300655365,0.019400551915168762,-0.017967117950320244,-0.9996502995491028,0.016006367281079292,0.04398410767316818,0.24922233819961548,2.9978411197662354,0.017971467226743698,0.01940177008509636,0.571508526802063,0.7827666997909546,0.007079756818711758,0.0018025207100436091,0.009792468510568142,0.026210330426692963,1.057431697845459,0.023608550429344177,0.011226311326026917,0.0018941238522529602,1.0379588603973389,0.18621444702148438,0.07827794551849365,0,0,-0.06954445689916611,-3.6437625885009766,0.04140639305114746,0.02050381898880005,0.03538775444030762,0.00040213356260210276,-0.05020599067211151,-6.17750358581543,0.0701989009976387,0.035241127014160156,-8.409841537475586,0.06050245836377144,0.07855992019176483,1.425403356552124,0.02850806713104248,0.006752952933311462,0.23035185039043427,0.004607037175446749
2,0.03999999910593033,0.44266477227211,0.025603516027331352,0.0,186.84461975097656,27.574806213378906,186.84461975097656,27.574806213378906,1,1,0.13635048270225525,0.38489919900894165,0.01681578904390335,0.004116312600672245,-0.9998500943183899,0.017651282250881195,0.03824756667017937,0.08915885537862778,3.044471502304077,-0.00411690678447485,0.016816582530736923,0.5765776634216309,0.7834649085998535,0.016482535749673843,-0.0017550725024193525,0.018511522561311722,0.047361068427562714,0.8748660683631897,0.044870685786008835,0.014694452285766602,0.003710135817527771,0.674381673336029,0.1811310052871704,0.5270593762397766,0,0,-0.10331915318965912,4.75897216796875,0.05407923087477684,0.0017899572849273682,-2.4002304077148438,0.027275346219539642,-0.020018398761749268,-10.972976684570312,0.12469291687011719,0.034436702728271484,-21.65677261352539,0.1558041125535965,0.08615575730800629,1.6254607439041138,0.0325092151761055,-0.003972344100475311,0.08083511143922806,0.0016167021822184324
3,0.05999999865889549,0.32015448808670044,0.03030441701412201,0.0,240.54287719726562,86.41947174072266,240.54287719726562,86.41947174072266,1,1,0.03236236050724983,0.3617362380027771,0.025946058332920074,-0.007385076489299536,-0.9996360540390015,0.016298672184348106,0.05313250795006752,0.0664028748869896,4.801207542419434,0.007387630641460419,0.025948969647288322,0.5847401022911072,0.7827868461608887,0.023461956530809402,-0.005395656451582909,0.024570055305957794,0.07110343128442764,1.0538139343261719,0.06610334664583206,0.02321028709411621,0.012137874960899353,0.7204843759536743,0.3035251200199127,0.7066105008125305,0,0,-0.11490494012832642,14.337504386901855,0.16292618215084076,0.016483858227729797,1.775606393814087,0.020177345722913742,-0.013958126306533813,-16.463932037353516,0.18709014356136322,0.04053616523742676,-24.43724822998047,0.17580753564834595,0.1370794177055359,2.879652500152588,0.057593051344156265,-0.01643185317516327,-0.15279245376586914,0.003055849112570286
4,0.07999999821186066,0.3609355688095093,0.03544485196471214,0.0,270.4310302734375,92.5680923461914,270.4310302734375,92.5680923461914,1,1,0.04889816790819168,0.38183897733688354,0.03737948462367058,-0.02072787657380104,-0.9990859031677246,0.013085398823022842,0.07254334539175034,0.08885027468204498,6.237919807434082,0.02074386179447174,0.03738819435238838,0.5983457565307617,0.7819475531578064,0.030268428847193718,-0.009869148954749107,0.02998185344040394,0.09288811683654785,1.1586194038391113,0.08358350396156311,0.032963529229164124,0.023567043244838715,0.7352350354194641,0.34372514486312866,0.8268502354621887,0,0,-0.13229838013648987,20.36594009399414,0.23143114149570465,0.03477215766906738,1.5281991958618164,0.017365900799632072,-0.006228804588317871,-24.928024291992188,0.28327301144599915,0.05816596746444702,-30.837154388427734,0.22185003757476807,0.14777159690856934,3.069540023803711,0.06139080226421356,-0.032162003219127655,-0.5067340135574341,0.010134680196642876
5,0.09999999776482582,0.35660451650619507,0.04109734296798706,0.043478261679410934,265.70001220703125,60.19514083862305,265.70001220703125,60.19514083862305,1,1,0.06312131881713867,0.36943450570106506,0.05344730615615845,-0.031938280910253525,-0.998059868812561,0.011643383651971817,0.09276170283555984,0.11064138263463974,6.930499076843262,0.0319894514977932,0.05347278714179993,0.6120941042900085,0.7811775803565979,0.037229035049676895,-0.014654561877250671,0.035301100462675095,0.11784563213586807,1.187171220779419,0.10198763012886047,0.04531552642583847,0.03784996271133423,0.5951770544052124,0.32099443674087524,0.9757573008537292,0,0,-0.15061353147029877,22.939102172851562,0.26067161560058594,0.05968707799911499,1.5933539867401123,0.01810629479587078,0.0050187259912490845,-29.704620361328125,0.3375525176525116,0.075406014919281,-33.760841369628906,0.24288375675678253,0.09068344533443451,2.3784902095794678,0.04756980389356613,-0.007106103003025055,-0.35791662335395813,0.007158332504332066
6,0.11999999731779099,0.3405627906322479,0.045835282653570175,0.0,308.95904541015625,60.57315444946289,308.95904541015625,60.57315444946289,1,1,0.07498801499605179,0.46135616302490234,0.07268711179494858,-0.04460657015442848,-0.9963569045066833,0.011436214670538902,0.11677168309688568,0.126011461019516,6.180660724639893,0.044739797711372375,0.07275126874446869,0.6223759055137634,0.779900312423706,0.043904200196266174,-0.019413428381085396,0.04022722691297531,0.13993152976036072,1.1339173316955566,0.11860580742359161,0.05530518293380737,0.0495462566614151,0.5999771356582642,0.22024843096733093,0.9366358518600464,0,0,-0.15577153861522675,21.669353485107422,0.24624265730381012,0.07370534539222717,3.3286311626434326,0.03782535344362259,-0.008937656879425049,-27.69685935974121,0.3147370517253876,0.08772248029708862,-31.51137351989746,0.2267005294561386,0.06946443021297455,1.0752158164978027,0.021504316478967667,0.013948407024145126,0.12304466962814331,0.002460893476381898
7,0.13999999687075615,0.3637530505657196,0.05067797750234604,0.0,386.6493835449219,0.0,386.6493835449219,0.0,1,0,0.032224785536527634,0.7306422591209412,0.09492748230695724,-0.05871474742889404,-0.993751049041748,0.010346944443881512,0.14833958446979523,0.13854089379310608,4.420671463012695,0.05901534855365753,0.09507063776254654,0.6273660063743591,0.777988851070404,0.05008875951170921,-0.023694828152656555,0.044825583696365356,0.16043005883693695,1.2986328601837158,0.13508352637290955,0.062392666935920715,0.05997834354639053,0.8965609073638916,0.06131947040557861,0.9374784827232361,0,0,-0.15956205129623413,17.04979705810547,0.19374769926071167,0.08747312426567078,6.349240303039551,0.07215046137571335,-0.028859436511993408,-21.755386352539062,0.24722029268741608,0.10429424047470093,-24.308944702148438,0.17488449811935425,0.037127137184143066,0.8955795764923096,0.01791159063577652,0.01416216790676117,-0.054951392114162445,0.0010990278096869588
8,0.1599999964237213,0.4050087630748749,0.05540626496076584,0.0,432.6490173339844,0.0,432.6490173339844,0.0,1,0,0.06048308312892914,0.9758370518684387,0.12007912248373032,-0.07399144768714905,-0.9900032877922058,0.009968971833586693,0.18267317116260529,0.19224512577056885,3.199843168258667,0.07459989190101624,0.12036958336830139,0.6309347152709961,0.7755846381187439,0.05554179474711418,-0.02681518718600273,0.049299485981464386,0.17627346515655518,1.1914541721343994,0.14997223019599915,0.06256380677223206,0.06831131875514984,0.9508066177368164,-0.253643274307251,0.6717104911804199,0,0,-0.15332934260368347,12.903990745544434,0.1466362625360489,0.1029348075389862,8.117061614990234,0.09223933517932892,-0.040281206369400024,-16.35913848876953,0.1858993023633957,0.10422909259796143,-18.587158203125,0.13372056186199188,-0.03308083862066269,-0.8480081558227539,0.016960162669420242,0.014678936451673508,0.04410809278488159,0.0008821618393994868
9,0.17999999597668648,0.438342422246933,0.06165630742907524,0.0,414.8103332519531,0.0,414.8103332519531,0.0,1,0,0.0629153847694397,1.195583701133728,0.14502958953380585,-0.0884919986128807,-0.9854620099067688,0.010508197359740734,0.22040721774101257,0.2656368613243103,2.830737590789795,0.08955726772546768,0.14554288983345032,0.634496808052063,0.7729611396789551,0.06036878004670143,-0.028562482446432114,0.053921718150377274,0.18871431052684784,1.1968921422958374,0.16507801413536072,0.0524386502802372,0.07491682469844818,0.9200360774993896,-0.6019169688224792,0.4730544090270996,0,0,-0.15124738216400146,9.844486236572266,0.11186916381120682,0.10722576081752777,8.242612838745117,0.09366605430841446,-0.048631615936756134,-12.678938865661621,0.14407885074615479,0.10066664218902588,-14.557666778564453,0.10473141819238663,-0.033426154404878616,-0.546035647392273,0.010920712724328041,0.012353289872407913,0.07676719129085541,0.0015353438211604953
10,0.19999999552965164,0.45860588550567627,0.06815625727176666,0.0,389.2149353027344,0.0,389.2149353027344,0.0,1,0,0.05092710256576538,1.423927903175354,0.16848133504390717,-0.10303431749343872,-0.9803049564361572,0.013932090252637863,0.25678738951683044,0.31447073817253113,2.138274908065796,0.1047198697924614,0.1692887842655182,0.6368488669395447,0.7701046466827393,0.06446640193462372,-0.028956595808267593,0.05848987028002739,0.2025427222251892,1.3552711009979248,0.18092772364616394,0.03875620290637016,0.0823812186717987,0.9530200958251953,-0.9204257726669312,0.28518205881118774,0,0,-0.14956516027450562,5.477695465087891,0.06224653869867325,0.09836520254611969,6.946219444274902,0.07893431186676025,-0.053615301847457886,-9.727470397949219,0.11053943634033203,0.09586441516876221,-10.576025009155273,0.07608651369810104,-0.010314509272575378,-0.005682721734046936,0.00011365443788236007,0.012954216450452805,0.1917136162519455,0.0038342722691595554
