step,motion_time_s,joint_err_norm,lower_body_err,torque_clip_ratio,left_foot_contact_z,right_foot_contact_z,left_foot_contact_norm,right_foot_contact_norm,left_foot_contact_flag,right_foot_contact_flag,left_foot_slip_xy,right_foot_slip_xy,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,root_pos_err,root_rot_err_rad,root_lin_vel_err,root_ang_vel_err,root_rot_err_roll,root_rot_err_pitch,root_rot_err_yaw,ref_root_roll,ref_root_pitch,ref_root_yaw,root_roll_err_wrapped,root_pitch_err_wrapped,root_yaw_err_wrapped,root_lin_vel_err_x,root_lin_vel_err_y,root_lin_vel_err_z,root_ang_vel_err_x,root_ang_vel_err_y,root_ang_vel_err_z,root_roll,root_pitch,root_yaw,root_height,root_xy_drift,root_x,root_y,left_foot_xy_drift,right_foot_pos_err,right_foot_vel_err,right_foot_pos_err_x,right_foot_pos_err_y,right_foot_pos_err_z,right_foot_vel_err_x,right_foot_vel_err_y,right_foot_vel_err_z,max_body_pos_err,termination_margin,termination_gravity_margin_x,termination_gravity_margin_y,termination_base_height_margin,termination_motion_far_margin,termination_motion_far_peak,termination_contact_margin,termination_contact_peak,termination_torque_margin,reset,timeout,top1_body_idx,top1_body_name,top1_body_err,top1_body_err_x,top1_body_err_y,top1_body_err_z,top1_body_ref_x,top1_body_ref_y,top1_body_ref_z,top1_body_sim_x,top1_body_sim_y,top1_body_sim_z,top2_body_idx,top2_body_name,top2_body_err,top2_body_err_x,top2_body_err_y,top2_body_err_z,top2_body_ref_x,top2_body_ref_y,top2_body_ref_z,top2_body_sim_x,top2_body_sim_y,top2_body_sim_z,top3_body_idx,top3_body_name,top3_body_err,top3_body_err_x,top3_body_err_y,top3_body_err_z,top3_body_ref_x,top3_body_ref_y,top3_body_ref_z,top3_body_sim_x,top3_body_sim_y,top3_body_sim_z,top4_body_idx,top4_body_name,top4_body_err,top4_body_err_x,top4_body_err_y,top4_body_err_z,top4_body_ref_x,top4_body_ref_y,top4_body_ref_z,top4_body_sim_x,top4_body_sim_y,top4_body_sim_z,top5_body_idx,top5_body_name,top5_body_err,top5_body_err_x,top5_body_err_y,top5_body_err_z,top5_body_ref_x,top5_body_ref_y,top5_body_ref_z,top5_body_sim_x,top5_body_sim_y,top5_body_sim_z,left_hip_pitch_joint_err,left_hip_pitch_joint_torque,left_hip_pitch_joint_torque_ratio,left_hip_roll_joint_err,left_hip_roll_joint_torque,left_hip_roll_joint_torque_ratio,left_hip_yaw_joint_err,left_hip_yaw_joint_torque,left_hip_yaw_joint_torque_ratio,left_knee_joint_err,left_knee_joint_torque,left_knee_joint_torque_ratio,left_ankle_pitch_joint_err,left_ankle_pitch_joint_torque,left_ankle_pitch_joint_torque_ratio,left_ankle_roll_joint_err,left_ankle_roll_joint_torque,left_ankle_roll_joint_torque_ratio,right_hip_pitch_joint_err,right_hip_pitch_joint_torque,right_hip_pitch_joint_torque_ratio,right_hip_roll_joint_err,right_hip_roll_joint_torque,right_hip_roll_joint_torque_ratio,right_hip_yaw_joint_err,right_hip_yaw_joint_torque,right_hip_yaw_joint_torque_ratio,right_knee_joint_err,right_knee_joint_torque,right_knee_joint_torque_ratio,right_ankle_pitch_joint_err,right_ankle_pitch_joint_torque,right_ankle_pitch_joint_torque_ratio,right_ankle_roll_joint_err,right_ankle_roll_joint_torque,right_ankle_roll_joint_torque_ratio
1,0.019999999552965164,0.6930710673332214,0.03778250142931938,0.0,0.0,21.9405460357666,0.0,21.9405460357666,0,1,0.4549413323402405,0.711115300655365,-0.09636539220809937,0.09269484877586365,0.037422969937324524,-0.00916522927582264,-0.175496906042099,0.0463532879948616,0.019400551915168762,-0.017967117950320244,-0.9996502995491028,0.016006367281079292,0.04398410767316818,0.24922233819961548,2.9978411197662354,-1.5683826208114624,-0.4395448565483093,0.11203096061944962,-0.022395413368940353,0.03676594793796539,0.568131685256958,-0.04036688804626465,0.0173642635345459,-0.0033767223358154297,-0.09941799193620682,-0.1389603316783905,-0.1814327985048294,-0.2929198145866394,2.8764567375183105,-0.7919884324073792,0.017971467226743698,0.01940177008509636,0.571508526802063,0.7827666997909546,0.007079756818711758,0.0018025207100436091,0.009792468510568142,0.006320272572338581,0.12462069094181061,1.1925324201583862,0.10689941793680191,0.06391517072916031,0.004205044358968735,1.1213386058807373,-0.39198029041290283,0.10528302192687988,0.12462069094181061,0.07799792289733887,0.7805994480848313,0.7820328820496798,0.5827666997909546,0.17537930905818938,0.12462069094181061,1.0,0.0,0.07799792289733887,0,0,12,right_ankle_roll_link,0.12462069094181061,0.10689941793680191,0.06391517072916031,0.004205044358968735,0.09773419052362442,-0.11158173531293869,0.05055833235383034,-0.00916522927582264,-0.175496906042099,0.0463532879948616,11,right_ankle_pitch_link,0.12119949609041214,0.10556548833847046,0.059391699731349945,0.004227332770824432,0.09736020117998123,-0.11384407430887222,0.06796595454216003,-0.008205283433198929,-0.17323577404022217,0.0637386217713356,10,right_knee_link,0.07415267080068588,0.017692431807518005,-0.06982283294200897,0.01761728525161743,0.09979888796806335,-0.18036895990371704,0.3604971766471863,0.08210645616054535,-0.11054612696170807,0.34287989139556885,25,body_25,0.06322832405567169,-0.04709792137145996,0.019393503665924072,0.03746330738067627,0.2749171853065491,-0.015399649739265442,0.9435716271400452,0.32201510667800903,-0.034793153405189514,0.9061083197593689,19,left_elbow_link,0.05547342821955681,-0.021602101624011993,0.050243496894836426,0.009286642074584961,-0.09693626314401627,0.24118533730506897,0.9122911691665649,-0.07533416152000427,0.19094184041023254,0.90300452709198,0.008590653538703918,2.812695264816284,0.03196244686841965,0.04288271442055702,1.3550872802734375,0.015398719348013401,0.001417413353919983,-4.309451103210449,0.048971034586429596,-0.04952624440193176,-11.412567138671875,0.08210480213165283,-0.07665306329727173,-1.2434539794921875,0.024869078770279884,0.041265614330768585,0.7356259822845459,0.014712519943714142,-0.06954445689916611,-3.6437625885009766,0.04140639305114746,0.02050381898880005,0.03538775444030762,0.00040213356260210276,-0.05020599067211151,-6.17750358581543,0.0701989009976387,0.035241127014160156,-8.409841537475586,0.06050245836377144,0.07855992019176483,1.425403356552124,0.02850806713104248,0.006752952933311462,0.23035185039043427,0.004607037175446749
2,0.03999999910593033,0.44266477227211,0.038766201585531235,0.0,186.84461975097656,27.574806213378906,186.84461975097656,27.574806213378906,1,1,0.13635048270225525,0.38489919900894165,-0.09671199321746826,0.09550874680280685,0.03490179404616356,-0.020917348563671112,-0.17067289352416992,0.05514150485396385,0.01681578904390335,0.004116312600672245,-0.9998500943183899,0.017651282250881195,0.03824756667017937,0.08915885537862778,3.044471502304077,-1.5705883502960205,0.4942738115787506,-0.20023512840270996,-0.03086262010037899,0.04414995014667511,0.5765127539634705,-0.02674579620361328,0.02733325958251953,-6.4849853515625e-05,-0.02496524155139923,-0.0855872631072998,0.0009268168359994888,-1.2748029232025146,2.432716131210327,-1.313611626625061,-0.00411690678447485,0.016816582530736923,0.5765776634216309,0.7834649085998535,0.016482535749673843,-0.0017550725024193525,0.018511522561311722,0.008631094358861446,0.13807088136672974,1.0001726150512695,0.12554490566253662,0.05744882673025131,0.0012956522405147552,0.688835620880127,-0.44832974672317505,0.5699572563171387,0.13807088136672974,0.16192911863327025,0.7831842109560967,0.7958836873993278,0.5834649085998536,0.16192911863327025,0.13807088136672974,1.0,0.0,0.39922499656677246,0,0,12,right_ankle_roll_link,0.13807088136672974,0.12554490566253662,0.05744882673025131,0.0012956522405147552,0.10462755709886551,-0.11322406679391861,0.05643715709447861,-0.020917348563671112,-0.17067289352416992,0.05514150485396385,11,right_ankle_pitch_link,0.13358603417873383,0.1228407621383667,0.052469804883003235,0.001514822244644165,0.10424941778182983,-0.11548104882240295,0.07384538650512695,-0.018591340631246567,-0.1679508537054062,0.07233056426048279,10,right_knee_link,0.08196265995502472,0.021430693566799164,-0.07644673436880112,0.020359277725219727,0.10672880709171295,-0.18033720552921295,0.36675071716308594,0.08529811352491379,-0.10389047116041183,0.3463914394378662,19,left_elbow_link,0.053521595895290375,-0.0017304643988609314,0.05348663032054901,-0.0008643269538879395,-0.09538736939430237,0.25114530324935913,0.9125339984893799,-0.09365690499544144,0.19765867292881012,0.9133983254432678,18,left_shoulder_yaw_link,0.0397832952439785,-0.0006498545408248901,0.03894492983818054,-0.008098185062408447,-0.07733042538166046,0.20940428972244263,0.9808266162872314,-0.07668057084083557,0.17045935988426208,0.9889248013496399,0.0018611699342727661,7.302801132202148,0.08298637717962265,0.025214537978172302,0.44712162017822266,0.00508092762902379,0.003209635615348816,-3.495380401611328,0.03972023352980614,-0.05932462215423584,-10.05044174194336,0.0723053365945816,-0.11365431547164917,-2.2266581058502197,0.04453316330909729,0.10301966965198517,2.155170440673828,0.0431034080684185,-0.10331915318965912,4.75897216796875,0.05407923087477684,0.0017899572849273682,-2.4002304077148438,0.027275346219539642,-0.020018398761749268,-10.972976684570312,0.12469291687011719,0.034436702728271484,-21.65677261352539,0.1558041125535965,0.08615575730800629,1.6254607439041138,0.0325092151761055,-0.003972344100475311,0.08083511143922806,0.0016167021822184324
3,0.05999999865889549,0.3171688914299011,0.04098145663738251,0.0,235.0224609375,83.12600708007812,235.0224609375,83.12600708007812,1,1,0.029507378116250038,0.33865708112716675,-0.096803218126297,0.09546489268541336,0.03495446592569351,-0.027152420952916145,-0.16561581194400787,0.058448124676942825,0.025810280814766884,-0.007083401549607515,-0.9996414184570312,0.01638425514101982,0.05293010175228119,0.06344188004732132,4.5756449699401855,-1.5711489915847778,-0.2505318522453308,0.1256333738565445,-0.04038100689649582,0.04927775636315346,0.5833860635757446,-0.04746675491333008,0.023464679718017578,-0.0017485618591308594,0.0428679883480072,-0.046766191720962524,-0.0003627166152000427,-2.9247934818267822,2.8270950317382812,-2.0951476097106934,0.007085822522640228,0.02581314742565155,0.5851345658302307,0.7828232049942017,0.023475050926208496,-0.005278856959193945,0.02463444322347641,0.008555937558412552,0.14729148149490356,1.1046749353408813,0.1379901021718979,0.05074407905340195,0.008862841874361038,0.6660095453262329,-0.360270231962204,0.8043278455734253,0.14729148149490356,0.15270851850509642,0.7741897191852332,0.7929165984503925,0.5828232049942017,0.15270851850509642,0.14729148149490356,1.0,0.0,0.3436061143875122,0,0,12,right_ankle_roll_link,0.14729148149490356,0.1379901021718979,0.05074407905340195,0.008862841874361038,0.1108376756310463,-0.11487173289060593,0.06731096655130386,-0.027152420952916145,-0.16561581194400787,0.058448124676942825,11,right_ankle_pitch_link,0.14268726110458374,0.134651780128479,0.04628702998161316,0.009277045726776123,0.11035090684890747,-0.11638008058071136,0.08479729294776917,-0.024300869554281235,-0.16266711056232452,0.07552024722099304,10,right_knee_link,0.09694410860538483,0.02929931879043579,-0.08668267726898193,0.03202849626541138,0.11850906908512115,-0.18297839164733887,0.3772082030773163,0.08920975029468536,-0.09629571437835693,0.3451797068119049,19,left_elbow_link,0.04417691007256508,0.008561015129089355,0.04043540358543396,-0.015597641468048096,-0.09635423123836517,0.2603217661380768,0.9122657775878906,-0.10491524636745453,0.21988636255264282,0.9278634190559387,9,right_hip_yaw_link,0.03777959570288658,0.011577241122722626,-0.03241298347711563,0.01557767391204834,0.12341397255659103,-0.0963113009929657,0.5505446195602417,0.11183673143386841,-0.06389831751585007,0.5349669456481934,0.008747600018978119,15.20172119140625,0.17274683713912964,0.047446828335523605,6.586748123168945,0.07484941184520721,-0.006163746118545532,-6.838068008422852,0.07770531624555588,-0.06344035267829895,-11.371452331542969,0.08180900663137436,-0.12189680337905884,-2.4771664142608643,0.04954332858324051,0.10184982419013977,2.135368585586548,0.04270737245678902,-0.1094406247138977,13.562321662902832,0.15411728620529175,0.015451610088348389,1.7868558168411255,0.020305179059505463,-0.014025777578353882,-15.526226043701172,0.17643438279628754,0.03419983386993408,-23.49942970275879,0.16906064748764038,0.13625924289226532,2.867915630340576,0.05735831335186958,-0.01680915802717209,-0.16978231072425842,0.0033956461120396852
4,0.07999999821186066,0.34535303711891174,0.04627224802970886,0.0,214.3015899658203,90.72624206542969,214.3015899658203,90.72624206542969,1,1,0.0402064248919487,0.2912483811378479,-0.09693970531225204,0.09552978724241257,0.03495553880929947,-0.03271195665001869,-0.16284750401973724,0.0608036145567894,0.035281162708997726,-0.019013307988643646,-0.9991962313652039,0.013449606485664845,0.07142621278762817,0.07724301517009735,5.796492099761963,-1.5691322088241577,-0.8833937644958496,0.3032192289829254,-0.05022008717060089,0.052726104855537415,0.594088077545166,-0.06924629211425781,0.01743769645690918,-0.006376981735229492,0.02162003517150879,-0.06766584515571594,-0.030337950214743614,-3.3993194103240967,3.8350045680999756,-2.708632707595825,0.01902630180120468,0.0352884866297245,0.6004650592803955,0.7822120785713196,0.030305296182632446,-0.00905328243970871,0.030424822121858597,0.00856618769466877,0.16553528606891632,1.2446366548538208,0.15608640015125275,0.048016227781772614,0.027081526815891266,0.6727954149246216,-0.2461136281490326,1.0177891254425049,0.16553528606891632,0.11035728454589844,0.7647188372910023,0.7809866920113564,0.5822120785713196,0.13446471393108367,0.16553528606891632,1.0,0.0,0.11035728454589844,0,0,12,right_ankle_roll_link,0.16553528606891632,0.15608640015125275,0.048016227781772614,0.027081526815891266,0.12337444722652435,-0.11483127623796463,0.08788514137268066,-0.03271195665001869,-0.16284750401973724,0.0608036145567894,11,right_ankle_pitch_link,0.16084468364715576,0.1526491791009903,0.04257133603096008,0.027512207627296448,0.12309353798627853,-0.1171012818813324,0.10529351234436035,-0.02955564297735691,-0.15967261791229248,0.0777813047170639,10,right_knee_link,0.12524275481700897,0.04576116055250168,-0.10467851161956787,0.05132320523262024,0.13561415672302246,-0.1936720311641693,0.39509719610214233,0.08985299617052078,-0.08899351954460144,0.3437739908695221,9,right_hip_yaw_link,0.05177493020892143,0.020477883517742157,-0.03858337923884392,0.02779608964920044,0.12999792397022247,-0.09449274092912674,0.5615684986114502,0.10952004045248032,-0.05590936169028282,0.5337724089622498,24,body_24,0.047981616109609604,-0.0026590973138809204,0.04733473062515259,0.00738835334777832,0.1416451781988144,0.30989784002304077,0.9706671237945557,0.1443042755126953,0.2625631093978882,0.9632787704467773,0.021101854741573334,20.167055130004883,0.22917108237743378,0.07137362658977509,9.294998168945312,0.1056249812245369,-0.017439648509025574,-8.759424209594727,0.09953891485929489,-0.05854688584804535,-10.375835418701172,0.07464630156755447,-0.13752645254135132,-2.800736904144287,0.056014738976955414,0.10392477363348007,2.2391932010650635,0.04478386417031288,-0.1017298623919487,18.859695434570312,0.21431471407413483,0.028211265802383423,1.6715028285980225,0.018994349986314774,-0.006037116050720215,-20.059131622314453,0.22794467210769653,0.021070361137390137,-26.428945541381836,0.19013629853725433,0.14598360657691956,3.0325798988342285,0.06065159663558006,-0.032840482890605927,-0.4662797152996063,0.009325594641268253
5,0.09999999776482582,0.33858954906463623,0.05292319506406784,0.043478261679410934,226.74049377441406,70.60721588134766,226.74049377441406,70.60721588134766,1,1,0.04082106798887253,0.3204183876514435,-0.0973241776227951,0.09554114937782288,0.0350009948015213,-0.039136357605457306,-0.16037197411060333,0.06393703073263168,0.04580577462911606,-0.028363535180687904,-0.9985477328300476,0.01166203711181879,0.08931843191385269,0.11442175507545471,6.9799485206604,-1.5717507600784302,-1.4291462898254395,0.5448410511016846,-0.06071458384394646,0.053263623267412186,0.6131183505058289,-0.0891118049621582,0.00744175910949707,-0.0032563209533691406,0.0028502047061920166,-0.10604745149612427,-0.04287368059158325,-3.606562614440918,4.564906597137451,-3.8566842079162598,0.028397154062986374,0.04582180827856064,0.6163746118545532,0.7816362977027893,0.037187229841947556,-0.013070574030280113,0.036115631461143494,0.008446584455668926,0.18873673677444458,1.388980507850647,0.17593446373939514,0.0457494854927063,0.05075037479400635,0.6004599332809448,-0.31763365864753723,1.2115377187728882,0.18873673677444458,0.0015850663185119629,0.754194225370884,0.7716364648193121,0.5816362977027894,0.11126326322555541,0.18873673677444458,1.0,0.0,0.0015850663185119629,0,0,12,right_ankle_roll_link,0.18873673677444458,0.17593446373939514,0.0457494854927063,0.05075037479400635,0.13679811358451843,-0.11462248861789703,0.11468740552663803,-0.039136357605457306,-0.16037197411060333,0.06393703073263168,11,right_ankle_pitch_link,0.1841251105070114,0.172590970993042,0.03880626708269119,0.0510733500123024,0.13691282272338867,-0.11816190928220749,0.13188457489013672,-0.03567814826965332,-0.15696817636489868,0.08081122487783432,10,right_knee_link,0.16147178411483765,0.06459657102823257,-0.1275171935558319,0.07509851455688477,0.15394634008407593,-0.20790062844753265,0.4176516532897949,0.08934976905584335,-0.08038344234228134,0.34255313873291016,9,right_hip_yaw_link,0.07152368873357773,0.02974417805671692,-0.04929124563932419,0.04244166612625122,0.13620033860206604,-0.0963430106639862,0.5751976370811462,0.10645616054534912,-0.04705176502466202,0.532755970954895,26,body_26,0.049252282828092575,-0.029541052877902985,0.039113640785217285,-0.004820466041564941,0.06375804543495178,0.07149040699005127,1.237199306488037,0.09329909831285477,0.032376766204833984,1.242019772529602,0.03481971472501755,22.178585052490234,0.2520293891429901,0.08920253813266754,9.468188285827637,0.10759305208921432,-0.03777167201042175,-16.574485778808594,0.18834643065929413,-0.0525481253862381,-6.805648326873779,0.04896149784326553,-0.1510014683008194,-3.1290464401245117,0.06258092820644379,0.10525619983673096,2.2705564498901367,0.0454111285507679,-0.12131472676992416,22.725563049316406,0.2582450211048126,0.0462823361158371,-0.0670783519744873,0.000762253999710083,0.009674951434135437,-28.819622039794922,0.3274956941604614,0.04018372297286987,-32.60395431518555,0.23456081748008728,0.09732401371002197,2.7541537284851074,0.05508307367563248,-0.027068212628364563,-0.5246387124061584,0.010492774657905102
6,0.11999999731779099,0.33598023653030396,0.05910919979214668,0.043478261679410934,264.3529052734375,25.36379051208496,264.3529052734375,25.36379051208496,1,1,0.09610913693904877,0.5209941864013672,-0.09775160253047943,0.0953795313835144,0.03506602719426155,-0.048312120139598846,-0.15658295154571533,0.07056874781847,0.06377264112234116,-0.04053185507655144,-0.9971408247947693,0.010456089861690998,0.11098818480968475,0.150855153799057,7.215093612670898,-1.5682413578033447,-1.5707963705062866,0.7885206341743469,-0.06976669281721115,0.052445895969867706,0.6280147433280945,-0.11039233207702637,-0.011369943618774414,0.0001862049102783203,0.011047504842281342,-0.1471472978591919,-0.031351253390312195,-3.600490093231201,4.579646110534668,-4.256864070892334,0.04062570258975029,0.06381595134735107,0.6278284192085266,0.7803507447242737,0.043888773769140244,-0.017271902412176132,0.04147019237279892,0.0081649050116539,0.2080247551202774,1.6247563362121582,0.1911778748035431,0.0415477529168129,0.07070431858301163,0.45670849084854126,-0.5870629549026489,1.4445093870162964,0.2080247551202774,0.0,0.7362273588776589,0.7594681449234486,0.5803507447242737,0.09197524487972258,0.2080247551202774,1.0,0.0,0.0,0,0,12,right_ankle_roll_link,0.2080247551202774,0.1911778748035431,0.0415477529168129,0.07070431858301163,0.14286574721336365,-0.11503519862890244,0.14127306640148163,-0.048312120139598846,-0.15658295154571533,0.07056874781847,11,right_ankle_pitch_link,0.2033672034740448,0.1876274198293686,0.03331930190324783,0.07102105021476746,0.14349496364593506,-0.11954019218683243,0.15823161602020264,-0.04413245618343353,-0.15285949409008026,0.08721056580543518,10,right_knee_link,0.19613026082515717,0.07592100650072098,-0.1517605185508728,0.09834542870521545,0.16837544739246368,-0.221321240067482,0.43935006856918335,0.0924544408917427,-0.0695607140660286,0.3410046398639679,9,right_hip_yaw_link,0.09121491014957428,0.03659810125827789,-0.06202893331646919,0.05597454309463501,0.140684112906456,-0.09984226524829865,0.58786541223526,0.1040860116481781,-0.03781333193182945,0.531890869140625,26,body_26,0.05721394345164299,-0.04407002776861191,0.0364711619913578,0.001059412956237793,0.06128226965665817,0.07150596380233765,1.237523078918457,0.10535229742527008,0.03503480181097984,1.2364636659622192,0.056794166564941406,24.789400100708008,0.28169772028923035,0.10860224813222885,11.794515609741211,0.1340285837650299,-0.0613529235124588,-21.07677459716797,0.23950880765914917,-0.045583441853523254,-1.538285732269287,0.011066803708672523,-0.1617664098739624,-3.5262229442596436,0.07052446156740189,0.10747645050287247,2.386031150817871,0.04772062227129936,-0.14657346904277802,24.98272705078125,0.2838946282863617,0.058600008487701416,0.5246529579162598,0.005961965303868055,0.0042444318532943726,-33.224945068359375,0.3775562047958374,0.07928287982940674,-37.11080551147461,0.266984224319458,0.10870100557804108,3.56061053276062,0.07121220976114273,-0.0071005672216415405,-0.5987017154693604,0.011974033899605274
7,0.13999999687075615,0.3642939031124115,0.0660352110862732,0.0,368.47296142578125,68.86961364746094,368.47296142578125,68.86961364746094,1,1,0.08213406056165695,0.6130430102348328,-0.09787286818027496,0.0949685275554657,0.0350663959980011,-0.05774472653865814,-0.14949551224708557,0.08098303526639938,0.08325053751468658,-0.056393325328826904,-0.9949315786361694,0.008985594846308231,0.14199669659137726,0.19065344333648682,6.455536842346191,-1.5530245304107666,-1.5707963705062866,1.0199588537216187,-0.07927243411540985,0.04498116299510002,0.6393811702728271,-0.13589239120483398,-0.038365840911865234,0.00870203971862793,0.01647631824016571,-0.18945470452308655,-0.013571327552199364,-3.676143169403076,4.154424667358398,-3.3016180992126465,0.056620024144649506,0.08334700763225555,0.630679190158844,0.7782281041145325,0.05012955144047737,-0.021681398153305054,0.04613596200942993,0.007736393250524998,0.22694668173789978,1.4655972719192505,0.20627865195274353,0.03260476887226105,0.08883044868707657,0.5391036868095398,-0.6705700755119324,1.1864562034606934,0.23136316239833832,0.051490187644958496,0.7167494624853135,0.7436066746711731,0.5782281041145325,0.06863683760166167,0.23136316239833832,1.0,0.0,0.051490187644958496,0,0,10,right_knee_link,0.23136316239833832,0.080320343375206,-0.17840546369552612,0.12348702549934387,0.18046972155570984,-0.2342287302017212,0.4631011486053467,0.10014937818050385,-0.055823273956775665,0.3396141231060028,12,right_ankle_roll_link,0.22694668173789978,0.20627865195274353,0.03260476887226105,0.08883044868707657,0.1485339254140854,-0.11689074337482452,0.16981348395347595,-0.05774472653865814,-0.14949551224708557,0.08098303526639938,11,right_ankle_pitch_link,0.221784308552742,0.2016124278306961,0.023102357983589172,0.08948180824518204,0.1495528370141983,-0.12216441333293915,0.1865297555923462,-0.0520595908164978,-0.14526677131652832,0.09704794734716415,9,right_hip_yaw_link,0.11064257472753525,0.040660254657268524,-0.07538975775241852,0.07003504037857056,0.14355480670928955,-0.10361331701278687,0.6015123724937439,0.10289455205202103,-0.028223559260368347,0.5314773321151733,26,body_26,0.07200708985328674,-0.06327197700738907,0.033072736114263535,0.009374022483825684,0.05692211538553238,0.07165975123643875,1.2378078699111938,0.12019409239292145,0.03858701512217522,1.2284338474273682,0.08284848183393478,27.423526763916016,0.3116309940814972,0.13633796572685242,16.031051635742188,0.1821710467338562,-0.08878608793020248,-20.59844398498535,0.2340732216835022,-0.037597402930259705,-1.9671030044555664,0.014151819981634617,-0.17281734943389893,-3.8658576011657715,0.07731714844703674,0.10974392294883728,2.4768331050872803,0.04953666031360626,-0.16011452674865723,22.899513244628906,0.2602217495441437,0.07576125860214233,3.219707489013672,0.036587584763765335,-0.011562183499336243,-29.369140625,0.333740234375,0.10154885053634644,-33.407108306884766,0.24033890664577484,0.10750804841518402,1.974961757659912,0.03949923440814018,0.006288804113864899,-0.15264886617660522,0.003052977379411459
8,0.1599999964237213,0.39653468132019043,0.07350639998912811,0.0,399.861328125,49.565643310546875,399.861328125,49.565643310546875,1,1,0.029690954834222794,0.7144325375556946,-0.09804984927177429,0.09491245448589325,0.0349760539829731,-0.06576691567897797,-0.14020781219005585,0.09430282562971115,0.10706783831119537,-0.07101613283157349,-0.9917118549346924,0.009537880308926105,0.17419154942035675,0.21082037687301636,3.9635069370269775,-1.5375463962554932,-1.5707963705062866,1.181209683418274,-0.08652950078248978,0.0382109135389328,0.6470698714256287,-0.15801715850830078,-0.06906247138977051,0.015813350677490234,-0.00023448467254638672,-0.21040338277816772,0.013251103460788727,-2.6086246967315674,2.257795810699463,-1.9511082172393799,0.07148760557174683,0.10727346688508987,0.6312564611434937,0.7757626175880432,0.05600730702280998,-0.02547283098101616,0.0507115013897419,0.007635081186890602,0.2429194152355194,1.4026484489440918,0.21854762732982635,0.021101176738739014,0.10393036156892776,0.6192649006843567,-0.758969783782959,1.003941535949707,0.2656829059123993,0.0343170940876007,0.6929321616888047,0.7289838671684266,0.5757626175880433,0.0343170940876007,0.2656829059123993,1.0,0.0,0.37233656644821167,0,0,10,right_knee_link,0.2656829059123993,0.07996973395347595,-0.20607706904411316,0.14739233255386353,0.1893567442893982,-0.24640116095542908,0.48679277300834656,0.10938701033592224,-0.04032409191131592,0.33940044045448303,12,right_ankle_roll_link,0.2429194152355194,0.21854762732982635,0.021101176738739014,0.10393036156892776,0.1527807116508484,-0.11910663545131683,0.19823318719863892,-0.06576691567897797,-0.14020781219005585,0.09430282562971115,11,right_ankle_pitch_link,0.23708584904670715,0.21210384368896484,0.010311439633369446,0.1054292619228363,0.15405809879302979,-0.1250019520521164,0.21472246944904327,-0.05804573744535446,-0.13531339168548584,0.10929320752620697,9,right_hip_yaw_link,0.12907415628433228,0.042307086288928986,-0.08939841389656067,0.08293473720550537,0.1446443796157837,-0.10787951946258545,0.6148291826248169,0.1023372933268547,-0.01848110929131508,0.5318944454193115,26,body_26,0.09125783294439316,-0.0846627950668335,0.028064846992492676,0.019302010536193848,0.052050914615392685,0.07053482532501221,1.238057017326355,0.13671371340751648,0.04246997833251953,1.2187550067901611,0.11178676038980484,29.076984405517578,0.33042028546333313,0.1620159149169922,18.56338119506836,0.21094751358032227,-0.1198105439543724,-20.499113082885742,0.23294447362422943,-0.03218911588191986,-7.971945762634277,0.057352129369974136,-0.1792118102312088,-3.461615562438965,0.06923231482505798,0.11225645244121552,2.2500412464141846,0.0450008250772953,-0.1572273075580597,16.616374969482422,0.1888224482536316,0.09574875235557556,6.731607437133789,0.07649553567171097,-0.028354331851005554,-21.222139358520508,0.24116067588329315,0.10450565814971924,-24.003446578979492,0.17268666625022888,0.052538514137268066,0.8664706349372864,0.017329413443803787,0.013323932886123657,-0.004859216511249542,9.718433284433559e-05
